date,Price ($/MWh),price_GWh
2013-01,50.16,0.05016
2013-02,68.66,0.06866
2013-03,152.17,0.15217
2013-04,98.48,0.09848
2013-05,79.36,0.07936
2013-06,65.21,0.06521
2013-07,53.99,0.05399
2013-08,58.86,0.05886
2013-09,59.06,0.05906
2013-10,33.53,0.03353
2013-11,35.88,0.03588
2013-12,47.37,0.04737
2014-01,62.24,0.06224
2014-02,120.46,0.12046
2014-03,121.82,0.12182
2014-04,96.43,0.09643
2014-05,61.78,0.06178
2014-06,51.81,0.05181
2014-07,58.6,0.0586
2014-08,69.53,0.06953
2014-09,57.32,0.05732
2014-10,68.09,0.06809
2014-11,73.83,0.07383
2014-12,84.71,0.08471
2015-01,100.37,0.10037
2015-02,93.71,0.09371
2015-03,82.28,0.08228
2015-04,83.78,0.08378
2015-05,51.44,0.05144
2015-06,48.66,0.04866
2015-07,52.63,0.05263
2015-08,53.95,0.05395
2015-09,57.97,0.05797
2015-10,59.24,0.05924
2015-11,68.21,0.06821
2015-12,73.42,0.07342
2016-01,70.78,0.07078
2016-02,67.62,0.06762
2016-03,60.23,0.06023
2016-04,67.13,0.06713
2016-05,57.75,0.05775
2016-06,56.57,0.05657
2016-07,59.03,0.05903
2016-08,53.27,0.05327
2016-09,51.46,0.05146
2016-10,47.18,0.04718
2016-11,44.95,0.04495
2016-12,41.6,0.0416
2017-01,48.37,0.04837
2017-02,49.93,0.04993
2017-03,51,0.051
2017-04,43.37,0.04337
2017-05,66.12,0.06612
2017-06,115.75,0.11575
2017-07,142.42,0.14242
2017-08,85.16,0.08516
2017-09,56.28,0.05628
2017-10,56.54,0.05654
2017-11,98.94,0.09894
2017-12,124.18,0.12418
2018-01,120.39,0.12039
2018-02,66.24,0.06624
2018-03,61.69,0.06169
2018-04,60.19,0.06019
2018-05,58.43,0.05843
2018-06,99.12,0.09912
2018-07,77.16,0.07716
2018-08,83.59,0.08359
2018-09,88.41,0.08841
2018-10,296.67,0.29667
2018-11,182.03,0.18203
2018-12,107.15,0.10715
2019-01,131.12,0.13112
2019-02,163.7,0.1637
2019-03,178.12,0.17812
2019-04,108.71,0.10871
2019-05,109.22,0.10922
2019-06,106.95,0.10695
2019-07,109.26,0.10926
2019-08,129.65,0.12965
2019-09,124.3,0.1243
2019-10,125.52,0.12552
2019-11,107.32,0.10732
2019-12,33.49,0.03349
2020-01,87.69,0.08769
2020-02,66.85,0.06685
2020-03,65.09,0.06509
2020-04,46.02,0.04602
2020-05,126.78,0.12678
2020-06,160,0.16
2020-07,148.67,0.14867
2020-08,114.61,0.11461
2020-09,134.65,0.13465
2020-10,122.11,0.12211
2020-11,96.76,0.09676
2020-12,114.14,0.11414
2021-01,136.09,0.13609
2021-02,243.41,0.24341
2021-03,252.05,0.25205
2021-04,270.17,0.27017
2021-05,292.21,0.29221
2021-06,259.81,0.25981
2021-07,182.17,0.18217
2021-08,116,0.116
2021-09,88.35,0.08835
2021-10,66.62,0.06662
2021-11,85.2,0.0852
2021-12,57.82,0.05782
2022-01,157.76,0.15776
2022-02,142.6,0.1426
2022-03,198.02,0.19802
2022-04,200.34,0.20034
2022-05,217.14,0.21714
2022-06,165.64,0.16564
2022-07,102.26,0.10226
2022-08,45.15,0.04515
2022-09,54.86,0.05486
2022-10,74.23,0.07423
2022-11,39.18,0.03918
2022-12,16.6,0.0166
2023-01,116.01,0.11601
2023-02,149.21,0.14921
2023-03,148.54,0.14854
2023-04,90.58,0.09058
2023-05,63.87,0.06387
2023-06,86.27,0.08627
2023-07,115.13,0.11513
2023-08,141.86,0.14186
2023-09,120.32,0.12032
2023-10,121.54,0.12154
2023-11,142.38,0.14238
2023-12,177.46,0.17746
2024-01,194.4,0.1944
2024-02,152.89,0.15289
2024-03,220.63,0.22063
2024-04,224.53,0.22453
2024-05,302.16,0.30216
2024-06,263.78,0.26378
2024-07,367.55,0.36755
2024-08,468.11,0.46811
2024-09,76.37,0.07637
2024-10,56.04,0.05604
2024-11,30.53,0.03053
2024-12,30.35,0.03035
2025-01,117.03,0.11703
2025-02,265.83,0.26583
2025-03,290.68,0.29068
2025-04,326.08,0.32608
2025-05,204.88,0.20488
2025-06,124.98,0.12498
2025-07,105.09,0.10509
2025-08,177.11,0.17711
2025-09,114.94,0.11494
2025-10,30.38,0.03038
2025-11,63.26,0.06326
2025-12,12.46,0.01246
