Wholesale price trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260504214817

Parameters
Date range,01 Jan 2013 - 31 Dec 2025
Region type,New Zealand
Time scale,Month
Show,Demand-weighted average

Period start,Period end,Region ID,Region,Price ($/MWh)
01/01/2013,01/02/2013,NZ,New Zealand,51.60
01/02/2013,01/03/2013,NZ,New Zealand,70.94
01/03/2013,01/04/2013,NZ,New Zealand,161.29
01/04/2013,01/05/2013,NZ,New Zealand,102.30
01/05/2013,01/06/2013,NZ,New Zealand,81.00
01/06/2013,01/07/2013,NZ,New Zealand,68.07
01/07/2013,01/08/2013,NZ,New Zealand,56.20
01/08/2013,01/09/2013,NZ,New Zealand,59.92
01/09/2013,01/10/2013,NZ,New Zealand,61.37
01/10/2013,01/11/2013,NZ,New Zealand,35.24
01/11/2013,01/12/2013,NZ,New Zealand,37.19
01/12/2013,01/01/2014,NZ,New Zealand,50.74
01/01/2014,01/02/2014,NZ,New Zealand,64.80
01/02/2014,01/03/2014,NZ,New Zealand,125.39
01/03/2014,01/04/2014,NZ,New Zealand,126.63
01/04/2014,01/05/2014,NZ,New Zealand,100.75
01/05/2014,01/06/2014,NZ,New Zealand,64.51
01/06/2014,01/07/2014,NZ,New Zealand,53.69
01/07/2014,01/08/2014,NZ,New Zealand,60.64
01/08/2014,01/09/2014,NZ,New Zealand,76.17
01/09/2014,01/10/2014,NZ,New Zealand,58.44
01/10/2014,01/11/2014,NZ,New Zealand,68.92
01/11/2014,01/12/2014,NZ,New Zealand,75.47
01/12/2014,01/01/2015,NZ,New Zealand,86.13
01/01/2015,01/02/2015,NZ,New Zealand,103.07
01/02/2015,01/03/2015,NZ,New Zealand,96.49
01/03/2015,01/04/2015,NZ,New Zealand,84.21
01/04/2015,01/05/2015,NZ,New Zealand,86.70
01/05/2015,01/06/2015,NZ,New Zealand,53.64
01/06/2015,01/07/2015,NZ,New Zealand,52.17
01/07/2015,01/08/2015,NZ,New Zealand,54.50
01/08/2015,01/09/2015,NZ,New Zealand,55.42
01/09/2015,01/10/2015,NZ,New Zealand,59.65
01/10/2015,01/11/2015,NZ,New Zealand,59.66
01/11/2015,01/12/2015,NZ,New Zealand,68.74
01/12/2015,01/01/2016,NZ,New Zealand,74.25
01/01/2016,01/02/2016,NZ,New Zealand,72.50
01/02/2016,01/03/2016,NZ,New Zealand,68.90
01/03/2016,01/04/2016,NZ,New Zealand,61.23
01/04/2016,01/05/2016,NZ,New Zealand,67.72
01/05/2016,01/06/2016,NZ,New Zealand,59.31
01/06/2016,01/07/2016,NZ,New Zealand,59.82
01/07/2016,01/08/2016,NZ,New Zealand,61.60
01/08/2016,01/09/2016,NZ,New Zealand,54.98
01/09/2016,01/10/2016,NZ,New Zealand,53.01
01/10/2016,01/11/2016,NZ,New Zealand,48.73
01/11/2016,01/12/2016,NZ,New Zealand,46.17
01/12/2016,01/01/2017,NZ,New Zealand,42.75
01/01/2017,01/02/2017,NZ,New Zealand,48.95
01/02/2017,01/03/2017,NZ,New Zealand,50.55
01/03/2017,01/04/2017,NZ,New Zealand,52.62
01/04/2017,01/05/2017,NZ,New Zealand,46.63
01/05/2017,01/06/2017,NZ,New Zealand,69.50
01/06/2017,01/07/2017,NZ,New Zealand,120.55
01/07/2017,01/08/2017,NZ,New Zealand,150.11
01/08/2017,01/09/2017,NZ,New Zealand,87.66
01/09/2017,01/10/2017,NZ,New Zealand,58.78
01/10/2017,01/11/2017,NZ,New Zealand,57.16
01/11/2017,01/12/2017,NZ,New Zealand,101.05
01/12/2017,01/01/2018,NZ,New Zealand,129.03
01/01/2018,01/02/2018,NZ,New Zealand,127.22
01/02/2018,01/03/2018,NZ,New Zealand,69.67
01/03/2018,01/04/2018,NZ,New Zealand,63.06
01/04/2018,01/05/2018,NZ,New Zealand,62.80
01/05/2018,01/06/2018,NZ,New Zealand,62.55
01/06/2018,01/07/2018,NZ,New Zealand,106.75
01/07/2018,01/08/2018,NZ,New Zealand,81.50
01/08/2018,01/09/2018,NZ,New Zealand,87.98
01/09/2018,01/10/2018,NZ,New Zealand,91.66
01/10/2018,01/11/2018,NZ,New Zealand,301.53
01/11/2018,01/12/2018,NZ,New Zealand,186.52
01/12/2018,01/01/2019,NZ,New Zealand,109.52
01/01/2019,01/02/2019,NZ,New Zealand,134.20
01/02/2019,01/03/2019,NZ,New Zealand,168.59
01/03/2019,01/04/2019,NZ,New Zealand,182.74
01/04/2019,01/05/2019,NZ,New Zealand,112.53
01/05/2019,01/06/2019,NZ,New Zealand,112.34
01/06/2019,01/07/2019,NZ,New Zealand,110.44
01/07/2019,01/08/2019,NZ,New Zealand,111.89
01/08/2019,01/09/2019,NZ,New Zealand,134.07
01/09/2019,01/10/2019,NZ,New Zealand,127.69
01/10/2019,01/11/2019,NZ,New Zealand,131.32
01/11/2019,01/12/2019,NZ,New Zealand,109.69
01/12/2019,01/01/2020,NZ,New Zealand,36.39
