Wholesale price trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260504214853

Parameters
Date range,01 Jan 2013 - 31 Dec 2025
Region type,New Zealand
Time scale,Month
Show,Generation-weighted average

Period start,Period end,Region ID,Region,Price ($/MWh)
01/01/2013,01/02/2013,NZ,New Zealand,48.09
01/02/2013,01/03/2013,NZ,New Zealand,67.36
01/03/2013,01/04/2013,NZ,New Zealand,152.73
01/04/2013,01/05/2013,NZ,New Zealand,97.56
01/05/2013,01/06/2013,NZ,New Zealand,77.72
01/06/2013,01/07/2013,NZ,New Zealand,64.89
01/07/2013,01/08/2013,NZ,New Zealand,53.18
01/08/2013,01/09/2013,NZ,New Zealand,56.40
01/09/2013,01/10/2013,NZ,New Zealand,58.44
01/10/2013,01/11/2013,NZ,New Zealand,32.39
01/11/2013,01/12/2013,NZ,New Zealand,33.79
01/12/2013,01/01/2014,NZ,New Zealand,46.84
01/01/2014,01/02/2014,NZ,New Zealand,60.56
01/02/2014,01/03/2014,NZ,New Zealand,119.57
01/03/2014,01/04/2014,NZ,New Zealand,121.81
01/04/2014,01/05/2014,NZ,New Zealand,96.44
01/05/2014,01/06/2014,NZ,New Zealand,61.08
01/06/2014,01/07/2014,NZ,New Zealand,50.74
01/07/2014,01/08/2014,NZ,New Zealand,57.70
01/08/2014,01/09/2014,NZ,New Zealand,71.74
01/09/2014,01/10/2014,NZ,New Zealand,56.28
01/10/2014,01/11/2014,NZ,New Zealand,66.35
01/11/2014,01/12/2014,NZ,New Zealand,72.19
01/12/2014,01/01/2015,NZ,New Zealand,82.21
01/01/2015,01/02/2015,NZ,New Zealand,98.56
01/02/2015,01/03/2015,NZ,New Zealand,91.94
01/03/2015,01/04/2015,NZ,New Zealand,80.92
01/04/2015,01/05/2015,NZ,New Zealand,82.86
01/05/2015,01/06/2015,NZ,New Zealand,50.32
01/06/2015,01/07/2015,NZ,New Zealand,49.13
01/07/2015,01/08/2015,NZ,New Zealand,51.93
01/08/2015,01/09/2015,NZ,New Zealand,52.91
01/09/2015,01/10/2015,NZ,New Zealand,57.03
01/10/2015,01/11/2015,NZ,New Zealand,56.62
01/11/2015,01/12/2015,NZ,New Zealand,65.19
01/12/2015,01/01/2016,NZ,New Zealand,70.43
01/01/2016,01/02/2016,NZ,New Zealand,69.18
01/02/2016,01/03/2016,NZ,New Zealand,65.24
01/03/2016,01/04/2016,NZ,New Zealand,57.54
01/04/2016,01/05/2016,NZ,New Zealand,63.69
01/05/2016,01/06/2016,NZ,New Zealand,55.79
01/06/2016,01/07/2016,NZ,New Zealand,55.75
01/07/2016,01/08/2016,NZ,New Zealand,56.21
01/08/2016,01/09/2016,NZ,New Zealand,51.89
01/09/2016,01/10/2016,NZ,New Zealand,50.35
01/10/2016,01/11/2016,NZ,New Zealand,45.82
01/11/2016,01/12/2016,NZ,New Zealand,43.32
01/12/2016,01/01/2017,NZ,New Zealand,39.67
01/01/2017,01/02/2017,NZ,New Zealand,45.87
01/02/2017,01/03/2017,NZ,New Zealand,46.80
01/03/2017,01/04/2017,NZ,New Zealand,49.96
01/04/2017,01/05/2017,NZ,New Zealand,44.09
01/05/2017,01/06/2017,NZ,New Zealand,65.40
01/06/2017,01/07/2017,NZ,New Zealand,113.58
01/07/2017,01/08/2017,NZ,New Zealand,140.85
01/08/2017,01/09/2017,NZ,New Zealand,82.83
01/09/2017,01/10/2017,NZ,New Zealand,55.59
01/10/2017,01/11/2017,NZ,New Zealand,54.16
01/11/2017,01/12/2017,NZ,New Zealand,96.16
01/12/2017,01/01/2018,NZ,New Zealand,123.09
01/01/2018,01/02/2018,NZ,New Zealand,120.86
01/02/2018,01/03/2018,NZ,New Zealand,65.73
01/03/2018,01/04/2018,NZ,New Zealand,59.21
01/04/2018,01/05/2018,NZ,New Zealand,58.52
01/05/2018,01/06/2018,NZ,New Zealand,58.93
01/06/2018,01/07/2018,NZ,New Zealand,100.23
01/07/2018,01/08/2018,NZ,New Zealand,76.78
01/08/2018,01/09/2018,NZ,New Zealand,82.93
01/09/2018,01/10/2018,NZ,New Zealand,87.00
01/10/2018,01/11/2018,NZ,New Zealand,286.57
01/11/2018,01/12/2018,NZ,New Zealand,174.61
01/12/2018,01/01/2019,NZ,New Zealand,103.51
01/01/2019,01/02/2019,NZ,New Zealand,127.89
01/02/2019,01/03/2019,NZ,New Zealand,159.79
01/03/2019,01/04/2019,NZ,New Zealand,174.02
01/04/2019,01/05/2019,NZ,New Zealand,106.36
01/05/2019,01/06/2019,NZ,New Zealand,105.30
01/06/2019,01/07/2019,NZ,New Zealand,103.04
01/07/2019,01/08/2019,NZ,New Zealand,105.54
01/08/2019,01/09/2019,NZ,New Zealand,127.08
01/09/2019,01/10/2019,NZ,New Zealand,121.96
01/10/2019,01/11/2019,NZ,New Zealand,125.18
01/11/2019,01/12/2019,NZ,New Zealand,102.35
01/12/2019,01/01/2020,NZ,New Zealand,32.92
01/01/2020,01/02/2020,NZ,New Zealand,86.52
01/02/2020,01/03/2020,NZ,New Zealand,61.99
01/03/2020,01/04/2020,NZ,New Zealand,61.25
01/04/2020,01/05/2020,NZ,New Zealand,46.12
01/05/2020,01/06/2020,NZ,New Zealand,127.33
01/06/2020,01/07/2020,NZ,New Zealand,162.87
01/07/2020,01/08/2020,NZ,New Zealand,147.90
01/08/2020,01/09/2020,NZ,New Zealand,112.36
01/09/2020,01/10/2020,NZ,New Zealand,130.98
01/10/2020,01/11/2020,NZ,New Zealand,115.95
01/11/2020,01/12/2020,NZ,New Zealand,91.74
01/12/2020,01/01/2021,NZ,New Zealand,111.75
01/01/2021,01/02/2021,NZ,New Zealand,134.22
01/02/2021,01/03/2021,NZ,New Zealand,238.99
01/03/2021,01/04/2021,NZ,New Zealand,248.67
01/04/2021,01/05/2021,NZ,New Zealand,268.41
01/05/2021,01/06/2021,NZ,New Zealand,287.34
01/06/2021,01/07/2021,NZ,New Zealand,256.20
01/07/2021,01/08/2021,NZ,New Zealand,177.62
01/08/2021,01/09/2021,NZ,New Zealand,116.87
01/09/2021,01/10/2021,NZ,New Zealand,85.12
01/10/2021,01/11/2021,NZ,New Zealand,64.45
01/11/2021,01/12/2021,NZ,New Zealand,81.74
01/12/2021,01/01/2022,NZ,New Zealand,56.11
01/01/2022,01/02/2022,NZ,New Zealand,154.91
01/02/2022,01/03/2022,NZ,New Zealand,141.76
01/03/2022,01/04/2022,NZ,New Zealand,196.38
01/04/2022,01/05/2022,NZ,New Zealand,194.25
01/05/2022,01/06/2022,NZ,New Zealand,209.95
01/06/2022,01/07/2022,NZ,New Zealand,163.87
01/07/2022,01/08/2022,NZ,New Zealand,102.09
01/08/2022,01/09/2022,NZ,New Zealand,47.37
01/09/2022,01/10/2022,NZ,New Zealand,56.73
01/10/2022,01/11/2022,NZ,New Zealand,73.91
01/11/2022,01/12/2022,NZ,New Zealand,37.85
01/12/2022,01/01/2023,NZ,New Zealand,17.29
01/01/2023,01/02/2023,NZ,New Zealand,115.30
01/02/2023,01/03/2023,NZ,New Zealand,146.63
01/03/2023,01/04/2023,NZ,New Zealand,143.79
01/04/2023,01/05/2023,NZ,New Zealand,86.57
01/05/2023,01/06/2023,NZ,New Zealand,66.09
01/06/2023,01/07/2023,NZ,New Zealand,88.39
01/07/2023,01/08/2023,NZ,New Zealand,111.91
01/08/2023,01/09/2023,NZ,New Zealand,137.05
01/09/2023,01/10/2023,NZ,New Zealand,116.02
01/10/2023,01/11/2023,NZ,New Zealand,115.22
01/11/2023,01/12/2023,NZ,New Zealand,137.23
01/12/2023,01/01/2024,NZ,New Zealand,172.53
01/01/2024,01/02/2024,NZ,New Zealand,191.22
01/02/2024,01/03/2024,NZ,New Zealand,148.27
01/03/2024,01/04/2024,NZ,New Zealand,214.58
01/04/2024,01/05/2024,NZ,New Zealand,217.45
01/05/2024,01/06/2024,NZ,New Zealand,296.25
01/06/2024,01/07/2024,NZ,New Zealand,255.72
01/07/2024,01/08/2024,NZ,New Zealand,354.53
01/08/2024,01/09/2024,NZ,New Zealand,459.68
01/09/2024,01/10/2024,NZ,New Zealand,80.70
01/10/2024,01/11/2024,NZ,New Zealand,55.13
01/11/2024,01/12/2024,NZ,New Zealand,29.62
01/12/2024,01/01/2025,NZ,New Zealand,29.69
01/01/2025,01/02/2025,NZ,New Zealand,116.85
01/02/2025,01/03/2025,NZ,New Zealand,258.27
01/03/2025,01/04/2025,NZ,New Zealand,283.73
01/04/2025,01/05/2025,NZ,New Zealand,316.08
01/05/2025,01/06/2025,NZ,New Zealand,198.07
01/06/2025,01/07/2025,NZ,New Zealand,122.43
01/07/2025,01/08/2025,NZ,New Zealand,105.30
01/08/2025,01/09/2025,NZ,New Zealand,170.10
01/09/2025,01/10/2025,NZ,New Zealand,111.98
01/10/2025,01/11/2025,NZ,New Zealand,31.41
01/11/2025,01/12/2025,NZ,New Zealand,62.00
01/12/2025,01/01/2026,NZ,New Zealand,11.43
