Wholesale price trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260504214935

Parameters
Date range,01 Jan 2013 - 31 Dec 2025
Region type,New Zealand
Time scale,Month
Show,Simple average

Period start,Period end,Region ID,Region,Price ($/MWh)
01/01/2013,01/02/2013,NZ,New Zealand,50.16
01/02/2013,01/03/2013,NZ,New Zealand,68.66
01/03/2013,01/04/2013,NZ,New Zealand,152.17
01/04/2013,01/05/2013,NZ,New Zealand,98.48
01/05/2013,01/06/2013,NZ,New Zealand,79.36
01/06/2013,01/07/2013,NZ,New Zealand,65.21
01/07/2013,01/08/2013,NZ,New Zealand,53.99
01/08/2013,01/09/2013,NZ,New Zealand,58.86
01/09/2013,01/10/2013,NZ,New Zealand,59.06
01/10/2013,01/11/2013,NZ,New Zealand,33.53
01/11/2013,01/12/2013,NZ,New Zealand,35.88
01/12/2013,01/01/2014,NZ,New Zealand,47.37
01/01/2014,01/02/2014,NZ,New Zealand,62.24
01/02/2014,01/03/2014,NZ,New Zealand,120.46
01/03/2014,01/04/2014,NZ,New Zealand,121.82
01/04/2014,01/05/2014,NZ,New Zealand,96.43
01/05/2014,01/06/2014,NZ,New Zealand,61.78
01/06/2014,01/07/2014,NZ,New Zealand,51.81
01/07/2014,01/08/2014,NZ,New Zealand,58.60
01/08/2014,01/09/2014,NZ,New Zealand,69.53
01/09/2014,01/10/2014,NZ,New Zealand,57.32
01/10/2014,01/11/2014,NZ,New Zealand,68.09
01/11/2014,01/12/2014,NZ,New Zealand,73.83
01/12/2014,01/01/2015,NZ,New Zealand,84.71
01/01/2015,01/02/2015,NZ,New Zealand,100.37
01/02/2015,01/03/2015,NZ,New Zealand,93.71
01/03/2015,01/04/2015,NZ,New Zealand,82.28
01/04/2015,01/05/2015,NZ,New Zealand,83.78
01/05/2015,01/06/2015,NZ,New Zealand,51.44
01/06/2015,01/07/2015,NZ,New Zealand,48.66
01/07/2015,01/08/2015,NZ,New Zealand,52.63
01/08/2015,01/09/2015,NZ,New Zealand,53.95
01/09/2015,01/10/2015,NZ,New Zealand,57.97
01/10/2015,01/11/2015,NZ,New Zealand,59.24
01/11/2015,01/12/2015,NZ,New Zealand,68.21
01/12/2015,01/01/2016,NZ,New Zealand,73.42
01/01/2016,01/02/2016,NZ,New Zealand,70.78
01/02/2016,01/03/2016,NZ,New Zealand,67.62
01/03/2016,01/04/2016,NZ,New Zealand,60.23
01/04/2016,01/05/2016,NZ,New Zealand,67.13
01/05/2016,01/06/2016,NZ,New Zealand,57.75
01/06/2016,01/07/2016,NZ,New Zealand,56.57
01/07/2016,01/08/2016,NZ,New Zealand,59.03
01/08/2016,01/09/2016,NZ,New Zealand,53.27
01/09/2016,01/10/2016,NZ,New Zealand,51.46
01/10/2016,01/11/2016,NZ,New Zealand,47.18
01/11/2016,01/12/2016,NZ,New Zealand,44.95
01/12/2016,01/01/2017,NZ,New Zealand,41.60
01/01/2017,01/02/2017,NZ,New Zealand,48.37
01/02/2017,01/03/2017,NZ,New Zealand,49.93
01/03/2017,01/04/2017,NZ,New Zealand,51.00
01/04/2017,01/05/2017,NZ,New Zealand,43.37
01/05/2017,01/06/2017,NZ,New Zealand,66.12
01/06/2017,01/07/2017,NZ,New Zealand,115.75
01/07/2017,01/08/2017,NZ,New Zealand,142.42
01/08/2017,01/09/2017,NZ,New Zealand,85.16
01/09/2017,01/10/2017,NZ,New Zealand,56.28
01/10/2017,01/11/2017,NZ,New Zealand,56.54
01/11/2017,01/12/2017,NZ,New Zealand,98.94
01/12/2017,01/01/2018,NZ,New Zealand,124.18
01/01/2018,01/02/2018,NZ,New Zealand,120.39
01/02/2018,01/03/2018,NZ,New Zealand,66.24
01/03/2018,01/04/2018,NZ,New Zealand,61.69
01/04/2018,01/05/2018,NZ,New Zealand,60.19
01/05/2018,01/06/2018,NZ,New Zealand,58.43
01/06/2018,01/07/2018,NZ,New Zealand,99.12
01/07/2018,01/08/2018,NZ,New Zealand,77.16
01/08/2018,01/09/2018,NZ,New Zealand,83.59
01/09/2018,01/10/2018,NZ,New Zealand,88.41
01/10/2018,01/11/2018,NZ,New Zealand,296.67
01/11/2018,01/12/2018,NZ,New Zealand,182.03
01/12/2018,01/01/2019,NZ,New Zealand,107.15
01/01/2019,01/02/2019,NZ,New Zealand,131.12
01/02/2019,01/03/2019,NZ,New Zealand,163.70
01/03/2019,01/04/2019,NZ,New Zealand,178.12
01/04/2019,01/05/2019,NZ,New Zealand,108.71
01/05/2019,01/06/2019,NZ,New Zealand,109.22
01/06/2019,01/07/2019,NZ,New Zealand,106.95
01/07/2019,01/08/2019,NZ,New Zealand,109.26
01/08/2019,01/09/2019,NZ,New Zealand,129.65
01/09/2019,01/10/2019,NZ,New Zealand,124.30
01/10/2019,01/11/2019,NZ,New Zealand,125.52
01/11/2019,01/12/2019,NZ,New Zealand,107.32
01/12/2019,01/01/2020,NZ,New Zealand,33.49
01/01/2020,01/02/2020,NZ,New Zealand,87.69
01/02/2020,01/03/2020,NZ,New Zealand,66.85
01/03/2020,01/04/2020,NZ,New Zealand,65.09
01/04/2020,01/05/2020,NZ,New Zealand,46.02
01/05/2020,01/06/2020,NZ,New Zealand,126.78
