month,ghi_kwh_m2_day,capacity_factor
2013-01,6.6612,0.27755
2013-02,6.6156,0.27565
2013-03,4.6476,0.19365
2013-04,2.7175,0.11322916666666666
2013-05,2.1547,0.08977916666666667
2013-06,1.4789,0.06162083333333334
2013-07,1.8833,0.07847083333333334
2013-08,2.3194,0.09664166666666667
2013-09,3.7044,0.15435000000000001
2013-10,4.721,0.19670833333333335
2013-11,5.6496,0.23540000000000003
2013-12,6.3101,0.2629208333333333
2014-01,6.4918,0.27049166666666663
2014-02,6.173,0.2572083333333333
2014-03,4.8202,0.20084166666666667
2014-04,2.5884,0.10785
2014-05,2.2102,0.09209166666666667
2014-06,1.5091,0.06287916666666667
2014-07,1.9294,0.08039166666666667
2014-08,2.7679,0.11532916666666666
2014-09,3.8251,0.15937916666666666
2014-10,5.4271,0.2261291666666667
2014-11,6.5443,0.27267916666666664
2014-12,6.1056,0.2544
2015-01,7.3565,0.3065208333333333
2015-02,6.2263,0.25942916666666666
2015-03,4.4791,0.18662916666666665
2015-04,2.8596,0.11914999999999999
2015-05,2.2608,0.0942
2015-06,1.6382,0.06825833333333334
2015-07,1.9075,0.07947916666666667
2015-08,2.5502,0.10625833333333333
2015-09,4.0327,0.16802916666666667
2015-10,5.4823,0.22842916666666668
2015-11,6.365,0.2652083333333333
2015-12,7.0706,0.2946083333333333
2016-01,6.2045,0.25852083333333337
2016-02,6.4666,0.26944166666666663
2016-03,4.6985,0.19577083333333334
2016-04,3.5614,0.14839166666666667
2016-05,1.9771,0.08237916666666667
2016-06,1.6135,0.06722916666666666
2016-07,1.9754,0.08230833333333333
2016-08,2.7542,0.11475833333333334
2016-09,3.5614,0.14839166666666667
2016-10,5.2615,0.21922916666666667
2016-11,5.6088,0.2337
2016-12,6.6062,0.2752583333333333
2017-01,6.5568,0.2732
2017-02,5.6882,0.23700833333333335
2017-03,4.3466,0.18110833333333332
2017-04,2.7607,0.11502916666666667
2017-05,2.2481,0.09367083333333333
2017-06,1.7719,0.07382916666666667
2017-07,1.8122,0.07550833333333333
2017-08,2.5169,0.10487083333333334
2017-09,3.4598,0.14415833333333333
2017-10,5.0534,0.21055833333333332
2017-11,6.3917,0.26632083333333334
2017-12,7.4808,0.31170000000000003
2018-01,5.975,0.2489583333333333
2018-02,5.4494,0.22705833333333333
2018-03,4.3166,0.17985833333333334
2018-04,3.0204,0.12585
2018-05,2.0263,0.08442916666666667
2018-06,1.6428,0.06845
2018-07,1.7616,0.0734
2018-08,2.5459,0.10607916666666667
2018-09,4.175,0.17395833333333333
2018-10,5.3114,0.22130833333333333
2018-11,5.7686,0.24035833333333334
2018-12,6.0422,0.25175833333333336
2019-01,7.5355,0.31397916666666664
2019-02,6.6439,0.2768291666666667
2019-03,4.3183,0.17992916666666667
2019-04,3.3058,0.13774166666666668
2019-05,2.2757,0.09482083333333334
2019-06,1.7102,0.07125833333333333
2019-07,1.6142,0.06725833333333334
2019-08,2.7614,0.11505833333333333
2019-09,3.8381,0.15992083333333332
2019-10,5.2375,0.21822916666666667
2019-11,6.2834,0.26180833333333337
2019-12,6.3677,0.26532083333333334
2020-01,7.061,0.29420833333333335
2020-02,6.0425,0.25177083333333333
2020-03,4.5859,0.19107916666666666
2020-04,3.42,0.1425
2020-05,2.142,0.08925
2020-06,1.5576,0.0649
2020-07,1.8828,0.07845
2020-08,2.7761,0.11567083333333333
2020-09,4.0798,0.16999166666666665
2020-10,4.6879,0.19532916666666666
2020-11,5.1967,0.21652916666666666
2020-12,6.5496,0.2729
2021-01,6.9571,0.28987916666666663
2021-02,6.2957,0.26232083333333334
2021-03,4.3548,0.18145
2021-04,3.1505,0.13127083333333334
2021-05,2.1266,0.08860833333333333
2021-06,1.4455,0.06022916666666667
2021-07,1.8528,0.0772
2021-08,2.5018,0.10424166666666666
2021-09,3.8712,0.1613
2021-10,5.0006,0.20835833333333334
2021-11,6.0041,0.25017083333333334
2021-12,5.8798,0.2449916666666667
2022-01,7.5034,0.31264166666666665
2022-02,4.6781,0.19492083333333332
2022-03,4.9358,0.20565833333333336
2022-04,3.4675,0.14447916666666666
2022-05,2.1689,0.09037083333333333
2022-06,1.4856,0.061900000000000004
2022-07,1.5749,0.06562083333333334
2022-08,2.472,0.103
2022-09,3.5498,0.14790833333333334
2022-10,5.0885,0.21202083333333333
2022-11,5.9143,0.24642916666666667
2022-12,6.5539,0.27307916666666665
2023-01,6.0946,0.2539416666666667
2023-02,5.3189,0.22162083333333335
2023-03,4.8166,0.20069166666666668
2023-04,3.0022,0.12509166666666668
2023-05,1.7897,0.07457083333333334
2023-06,1.7189,0.07162083333333334
2023-07,2.0642,0.08600833333333334
2023-08,2.9635,0.12347916666666665
2023-09,3.69,0.15375
2023-10,5.5906,0.23294166666666669
2023-11,6.1334,0.25555833333333333
2023-12,6.2714,0.2613083333333333
2024-01,7.327,0.3052916666666667
2024-02,6.4841,0.2701708333333333
2024-03,4.8283,0.20117916666666666
2024-04,3.0804,0.12835
2024-05,2.3741,0.09892083333333333
2024-06,1.5528,0.0647
2024-07,1.9471,0.08112916666666667
2024-08,2.7017,0.11257083333333334
2024-09,4.0356,0.16815
2024-10,4.7482,0.19784166666666667
2024-11,5.9784,0.2491
2024-12,6.8789,0.2866208333333333
2025-01,6.3631,0.2651291666666667
2025-02,6.0958,0.25399166666666667
2025-03,4.997,0.20820833333333333
2025-04,2.7708,0.11545
2025-05,2.1454,0.08939166666666666
2025-06,1.577,0.06570833333333333
2025-07,1.8127,0.07552916666666666
2025-08,3.0276,0.12615
2025-09,4.0454,0.16855833333333334
2025-10,5.0993,0.21247083333333336
2025-11,6.4058,0.26690833333333336
2025-12,-999.0,-41.625
