date,year,month,demand_gwh,demand_dollars
2013-01,2013,1,3230.524,``
2013-02,2013,2,3006.925,213321584.3
2013-03,2013,3,3258.119,525494727.28
2013-04,2013,4,3135.393,320749860.74
2013-05,2013,5,3467.561,280857834.28
2013-06,2013,6,3547.057,241453733.58
2013-07,2013,7,3686.571,207173102.46
2013-08,2013,8,3581.905,214631500.87
2013-09,2013,9,3408.327,209170397.84
2013-10,2013,10,3340.851,117722134.43
2013-11,2013,11,3245.191,120678496.23
2013-12,2013,12,3204.698,162613085.27
2014-01,2014,1,3223.176,208847962.22
2014-02,2014,2,3026.522,379508347.26
2014-03,2014,3,3238.699,410115764.21
2014-04,2014,4,3160.618,318441326.84
2014-05,2014,5,3461.354,223284176.49
2014-06,2014,6,3462.707,185928728.32
2014-07,2014,7,3765.319,228317919.52
2014-08,2014,8,3733.518,284387487.53
2014-09,2014,9,3432.844,200602048.17
2014-10,2014,10,3462.069,238621355.72
2014-11,2014,11,3326.752,251073246.79
2014-12,2014,12,3308.481,284947539.04
2015-01,2015,1,3318.979,342100989.38
2015-02,2015,2,3053.446,294619437.07
2015-03,2015,3,3325.737,280047943.78
2015-04,2015,4,3221.613,279327152.0
2015-05,2015,5,3520.935,188880274.71
2015-06,2015,6,3597.753,187703632.83
2015-07,2015,7,3823.943,208396819.59
2015-08,2015,8,3787.99,209926103.29
2015-09,2015,9,3541.191,211238065.34
2015-10,2015,10,3459.358,206373472.93
2015-11,2015,11,3344.092,229862933.76
2015-12,2015,12,3349.053,248679085.67
2016-01,2016,1,3244.064,235206343.41
2016-02,2016,2,3143.102,216558712.93
2016-03,2016,3,3339.252,204461873.8
2016-04,2016,4,3188.037,215907912.61
2016-05,2016,5,3441.136,204103198.96
2016-06,2016,6,3519.591,210533130.59
2016-07,2016,7,3735.552,230121362.88
2016-08,2016,8,3830.303,210583445.96
2016-09,2016,9,3460.877,183454175.41
2016-10,2016,10,3350.668,163265427.22
2016-11,2016,11,3228.169,149033595.52
2016-12,2016,12,3266.511,139637204.12
2017-01,2017,1,3255.406,159359749.18
2017-02,2017,2,3068.127,155107614.23
2017-03,2017,3,3322.395,174823070.0
2017-04,2017,4,3195.343,148983116.6
2017-05,2017,5,3614.43,251211279.07
2017-06,2017,6,3600.271,434012807.18
2017-07,2017,7,3835.736,575775597.29
2017-08,2017,8,3742.608,328083160.76
2017-09,2017,9,3464.129,203632801.66
2017-10,2017,10,3388.688,193697919.58
2017-11,2017,11,3340.395,337540764.69
2017-12,2017,12,3342.395,431281645.54
2018-01,2018,1,3300.396,419861000.1
2018-02,2018,2,2988.547,208214454.56
2018-03,2018,3,3248.978,204881940.83
2018-04,2018,4,3278.205,205887237.57
2018-05,2018,5,3601.134,225261580.25
2018-06,2018,6,3715.167,396602654.43
2018-07,2018,7,3833.062,312410736.03
2018-08,2018,8,3791.038,333516640.26
2018-09,2018,9,3509.119,321630497.54
2018-10,2018,10,3464.87,1044750419.89
2018-11,2018,11,3251.854,606525485.17
2018-12,2018,12,3190.955,349466924.69
2019-01,2019,1,3363.815,451434647.79
2019-02,2019,2,3128.506,527429365.54
2019-03,2019,3,3362.934,614537463.57
2019-04,2019,4,3286.328,369795740.46
2019-05,2019,5,3527.979,396339525.59
2019-06,2019,6,3644.598,402503757.56
2019-07,2019,7,3793.271,424428232.59
2019-08,2019,8,3882.795,520555111.93
2019-09,2019,9,3555.084,453950671.98
2019-10,2019,10,3516.429,461789585.03
2019-11,2019,11,3290.908,360985815.73
2019-12,2019,12,3348.963,121877063.65
2020-01,2020,1,3392.296,311838119.88
2020-02,2020,2,3212.346,219831148.17
2020-03,2020,3,3296.679,218600242.76
2020-04,2020,4,2834.598,137765591.39
2020-05,2020,5,3508.203,473674643.7
2020-06,2020,6,3601.587,617186630.32
2020-07,2020,7,3885.162,606731937.38
2020-08,2020,8,3746.627,443483564.93
2020-09,2020,9,3557.671,492762441.8
2020-10,2020,10,3524.138,436363514.05
2020-11,2020,11,3282.677,321151524.81
2020-12,2020,12,3319.776,391416273.08
2021-01,2021,1,3251.758,457011004.61
2021-02,2021,2,3065.085,768276182.9
2021-03,2021,3,3367.803,877560894.96
2021-04,2021,4,3271.144,917625737.27
2021-05,2021,5,3613.144,1090352786.36
2021-06,2021,6,3620.248,973632782.33
2021-07,2021,7,3911.043,735531054.58
