date,demand_gwh,capacity_mw,month,year,season,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh,net_grid_demand_gwh,season_Autumn,season_Spring,season_Summer,season_Winter
2013-08,3581.905,5.76,8,2013,Winter,5.76,2.3194,0.096641667,0.41415206399999993,3581.490848,FALSE,FALSE,FALSE,TRUE
2013-09,3408.327,6.574,9,2013,Spring,6.574,3.7044,0.15435000000000001,0.730581768,3407.5964182320004,FALSE,TRUE,FALSE,FALSE
2013-10,3340.851,7.123,10,2013,Spring,7.123,4.721,0.19670833333333335,1.042458173,3339.808542,FALSE,TRUE,FALSE,FALSE
2013-11,3245.191,8.006,11,2013,Spring,8.006,5.6496,0.23540000000000003,1.356920928,3243.834079,FALSE,TRUE,FALSE,FALSE
2013-12,3204.698,8.62,12,2013,Summer,8.62,6.3101,0.2629208333333333,1.6861849219999998,3203.011815,FALSE,FALSE,TRUE,FALSE
2014-01,3223.176,9.34,1,2014,Summer,9.34,6.4918,0.27049166666666663,1.8796357719999999,3221.296364,FALSE,FALSE,TRUE,FALSE
2014-02,3026.522,10.333,2,2014,Summer,10.333,6.173,0.2572083333333333,1.785997052,3024.736003,FALSE,FALSE,TRUE,FALSE
2014-03,3238.699,11.487,3,2014,Autumn,11.487,4.8202,0.20084166666666667,1.716458759,3236.982541,TRUE,FALSE,FALSE,FALSE
2014-04,3160.618,12.338,4,2014,Autumn,12.338,2.5884,0.10785,0.9580703759999999,3159.65993,TRUE,FALSE,FALSE,FALSE
2014-05,3461.354,13.213,5,2014,Autumn,13.213,2.2102,0.092091667,0.9053045505999999,3460.448695,TRUE,FALSE,FALSE,FALSE
2014-06,3462.707,14.306,6,2014,Winter,14.306,1.5091,0.062879167,0.647675538,3462.059324,FALSE,FALSE,FALSE,TRUE
2014-07,3765.319,15.466,7,2014,Winter,15.466,1.9294,0.080391667,0.9250431123999999,3764.393957,FALSE,FALSE,FALSE,TRUE
