month,ghi_kwh_m2_day,capacity_factor
2013-01,7.4573,0.31072083333333333
2013-02,6.9343,0.2889291666666667
2013-03,5.2046,0.21685833333333335
2013-04,3.0886,0.12869166666666668
2013-05,2.159,0.08995833333333332
2013-06,1.4774,0.06155833333333333
2013-07,1.8758,0.07815833333333333
2013-08,2.6102,0.10875833333333333
2013-09,4.0243,0.16767916666666668
2013-10,5.1396,0.21414999999999998
2013-11,6.6811,0.2783791666666667
2013-12,7.1724,0.29885
2014-01,6.9958,0.29149166666666665
2014-02,6.727,0.28029166666666666
2014-03,4.6982,0.19575833333333334
2014-04,2.8054,0.11689166666666667
2014-05,2.1778,0.09074166666666666
2014-06,1.5938,0.06640833333333333
2014-07,1.9428,0.08095000000000001
2014-08,2.9287,0.12202916666666667
2014-09,4.1854,0.17439166666666664
2014-10,5.6633,0.23597083333333332
2014-11,6.7198,0.2799916666666667
2014-12,6.6917,0.27882083333333335
2015-01,7.9085,0.3295208333333333
2015-02,6.4366,0.26819166666666666
2015-03,4.7333,0.19722083333333332
2015-04,3.0878,0.12865833333333335
2015-05,2.1698,0.09040833333333333
2015-06,1.6097,0.06707083333333333
2015-07,1.9469,0.08112083333333334
2015-08,2.581,0.10754166666666666
2015-09,4.2106,0.1754416666666667
2015-10,5.6122,0.23384166666666664
2015-11,6.5573,0.2732208333333333
2015-12,7.6392,0.31829999999999997
2016-01,6.8935,0.2872291666666667
2016-02,6.6065,0.2752708333333333
2016-03,4.8626,0.2026083333333333
2016-04,3.6785,0.15327083333333333
2016-05,2.0314,0.08464166666666667
2016-06,1.6524,0.06885000000000001
2016-07,2.0441,0.08517083333333332
2016-08,2.7672,0.1153
2016-09,3.4406,0.14335833333333334
2016-10,5.6738,0.23640833333333333
2016-11,6.0979,0.2540791666666667
2016-12,7.3903,0.30792916666666664
2017-01,6.6156,0.27565
2017-02,5.7948,0.24145000000000003
2017-03,4.4237,0.18432083333333335
2017-04,3.0223,0.12592916666666668
2017-05,2.1295,0.08872916666666668
2017-06,1.813,0.07554166666666666
2017-07,1.8444,0.07685
2017-08,2.6345,0.10977083333333333
2017-09,3.9648,0.16519999999999999
2017-10,5.4125,0.2255208333333333
2017-11,7.2806,0.30335833333333334
2017-12,7.8833,0.3284708333333333
2018-01,6.5962,0.27484166666666665
2018-02,5.9004,0.24585
2018-03,4.5878,0.19115833333333332
2018-04,3.2983,0.13742916666666666
2018-05,2.2039,0.09182916666666667
2018-06,1.6277,0.06782083333333333
2018-07,1.9109,0.07962083333333334
2018-08,2.7804,0.11585000000000001
2018-09,4.2509,0.1771208333333333
2018-10,5.447,0.22695833333333335
2018-11,6.4678,0.2694916666666667
2018-12,6.9838,0.29099166666666665
2019-01,7.5266,0.3136083333333333
2019-02,6.726,0.28025
2019-03,4.8998,0.20415833333333333
2019-04,3.3802,0.14084166666666667
2019-05,2.2886,0.09535833333333334
2019-06,1.7153,0.07147083333333333
2019-07,1.7911,0.07462916666666666
2019-08,2.9573,0.12322083333333333
2019-09,3.9118,0.16299166666666667
2019-10,5.2394,0.21830833333333333
2019-11,6.7579,0.28157916666666666
2019-12,7.2821,0.3034208333333333
2020-01,7.2122,0.3005083333333333
2020-02,6.4306,0.2679416666666667
2020-03,4.8809,0.2033708333333333
2020-04,3.6422,0.15175833333333333
2020-05,2.2111,0.09212916666666666
2020-06,1.6138,0.06724166666666666
2020-07,1.9822,0.08259166666666666
2020-08,2.821,0.11754166666666667
2020-09,4.2091,0.17537916666666667
2020-10,5.0923,0.21217916666666667
2020-11,5.4936,0.2289
2020-12,6.9874,0.2911416666666667
2021-01,7.3114,0.30464166666666664
2021-02,6.523,0.27179166666666665
2021-03,4.7774,0.19905833333333334
2021-04,3.3492,0.13955
2021-05,2.1828,0.09094999999999999
2021-06,1.5252,0.06355
2021-07,1.9618,0.08174166666666667
2021-08,2.7338,0.11390833333333333
2021-09,4.013,0.16720833333333332
2021-10,5.291,0.22045833333333334
2021-11,6.619,0.27579166666666666
2021-12,6.3154,0.26314166666666666
2022-01,8.0959,0.3373291666666667
2022-02,5.7422,0.23925833333333335
2022-03,5.009,0.20870833333333336
2022-04,3.575,0.14895833333333333
2022-05,2.1518,0.08965833333333334
2022-06,1.6445,0.06852083333333334
2022-07,1.7486,0.07285833333333333
2022-08,2.3808,0.0992
2022-09,3.7759,0.15732916666666666
2022-10,5.4252,0.22605
2022-11,6.6398,0.27665833333333334
2022-12,7.2223,0.30092916666666664
2023-01,6.7822,0.28259166666666663
2023-02,5.7173,0.23822083333333333
2023-03,5.0525,0.21052083333333335
2023-04,3.2938,0.13724166666666668
2023-05,2.0532,0.08555
2023-06,1.913,0.07970833333333334
2023-07,1.9843,0.08267916666666666
2023-08,2.7641,0.11517083333333333
2023-09,3.9842,0.16600833333333334
2023-10,5.5433,0.23097083333333335
2023-11,6.7726,0.2821916666666667
2023-12,6.683,0.2784583333333333
2024-01,7.5382,0.31409166666666666
2024-02,6.7762,0.28234166666666666
2024-03,4.9073,0.20447083333333335
2024-04,3.3528,0.1397
2024-05,2.3275,0.09697916666666667
2024-06,1.7645,0.07352083333333333
2024-07,1.8982,0.07909166666666667
2024-08,2.7859,0.11607916666666666
2024-09,4.0183,0.16742916666666666
2024-10,5.2745,0.21977083333333333
2024-11,6.6485,0.2770208333333333
2024-12,7.1458,0.2977416666666667
2025-01,6.9857,0.29107083333333333
2025-02,6.7104,0.2796
2025-03,5.0069,0.20862083333333334
2025-04,3.1613,0.13172083333333334
2025-05,2.2536,0.0939
2025-06,1.6867,0.07027916666666667
2025-07,1.9862,0.08275833333333334
2025-08,2.9676,0.12365
2025-09,4.0522,0.16884166666666667
2025-10,4.7081,0.19617083333333332
2025-11,6.8914,0.2871416666666667
2025-12,-999.0,-41.625
